orchestrator-1  | orchestrator listening on http://0.0.0.0:8080
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-10-31T04:35:08.087Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-10-31T04:35:08.090Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-10-31T04:35:08.137Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-10-31T04:35:08.164Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":true,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-10-31T04:35:08.165Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-10-31T04:35:08.174Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-10-31T04:35:08.190Z","source":"curl","action":"tools/call","path":"/mcp","has_session_header":true,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-10-31T04:35:08.192Z","source":"curl","target":"jungle","action":"tools/call"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-10-31T04:35:08.651Z","source":"curl","action":"tools/call","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-10-31T04:35:08.682Z","source":"curl","action":"tools/call","path":"/mcp","has_session_header":true,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-10-31T04:35:08.682Z","source":"curl","target":"jungle","action":"tools/call"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-10-31T04:35:09.112Z","source":"curl","action":"tools/call","status":200}
