orchestrator-1  | orchestrator listening on http://0.0.0.0:8080
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:12.032Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:12.033Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T05:09:12.066Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:12.087Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:12.088Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:09:12.092Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:12.112Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:12.113Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T05:09:12.116Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:12.138Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:12.139Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:09:12.141Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:12.647Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:12.648Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:09:12.650Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:13.446Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:13.446Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T05:09:13.450Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:13.468Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:13.468Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:09:13.470Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:13.908Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:13.908Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:09:13.910Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:09:13.929Z","source":"curl","action":"tools/call","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:09:13.929Z","source":"curl","target":"jungle","action":"tools/call"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:09:13.932Z","source":"curl","action":"tools/call","status":200}
