orchestrator-1  | orchestrator listening on http://0.0.0.0:8080
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:04.479Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:04.479Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T05:08:04.510Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:04.528Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:04.529Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:04.532Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:04.555Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:04.555Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T05:08:04.558Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:04.581Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:04.582Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:04.584Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:05.662Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:05.663Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:05.666Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:05.684Z","source":"curl","action":"tools/call","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:05.685Z","source":"curl","target":"jungle","action":"tools/call"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:05.687Z","source":"curl","action":"tools/call","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:07.518Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:07.518Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T05:08:07.521Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:07.541Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:07.541Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:07.545Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:07.955Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:07.955Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:07.957Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T05:08:07.976Z","source":"curl","action":"tools/call","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T05:08:07.976Z","source":"curl","target":"jungle","action":"tools/call"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T05:08:07.978Z","source":"curl","action":"tools/call","status":200}
