orchestrator-1  | orchestrator listening on http://0.0.0.0:8080
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T03:35:04.685Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T03:35:04.686Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T03:35:04.719Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T03:35:04.738Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T03:35:04.738Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T03:35:04.741Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T03:35:04.762Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T03:35:04.762Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T03:35:04.765Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T03:35:04.787Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T03:35:04.787Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T03:35:04.790Z","source":"curl","action":"tools/list","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T03:35:06.487Z","source":"curl","action":"initialize","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T03:35:06.487Z","source":"curl","target":"jungle","action":"initialize"}
orchestrator-1  | {"level":"info","msg":"upstream_ok","ts":"2025-11-04T03:35:06.490Z","source":"curl","action":"initialize","status":200}
orchestrator-1  | {"level":"info","msg":"ingress","ts":"2025-11-04T03:35:06.511Z","source":"curl","action":"tools/list","path":"/mcp","has_session_header":false,"content_type":"application/json"}
orchestrator-1  | {"level":"info","msg":"upstream_call","ts":"2025-11-04T03:35:06.512Z","source":"curl","target":"jungle","action":"tools/list"}
orchestrator-1  | {"level":"info","msg":"relay_stream","ts":"2025-11-04T03:35:06.515Z","source":"curl","action":"tools/list","status":200}
